Amostra,Cellulose,Hemicellulose,Lignin,Solids_Loading,Enzyme_Loading,Time_h,Glucose_Real,Xylose_Real,Cellobiose_Real,Glucose_Pred,Xylose_Pred,Cellobiose_Pred,Glucose_AE,Xylose_AE,Cellobiose_AE,Glucose_RE,Xylose_RE,Cellobiose_RE,Total_AE
153,0.644000,0.125000,0.231000,196.155000,0.801000,72.000000,80.453000,24.572000,2.483000,82.017380,23.420757,2.258622,1.564380,1.151243,0.224378,1.944464,4.685181,9.036552,2.940000
154,0.644000,0.125000,0.231000,196.155000,0.801000,96.000000,88.639000,25.064000,1.960000,92.182327,23.944611,1.711708,3.543327,1.119389,0.248292,3.997481,4.466124,12.667950,4.911008
155,0.627000,0.097000,0.276000,98.712000,1.156000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
156,0.627000,0.097000,0.276000,98.712000,1.156000,1.000000,14.107000,2.555000,0.355000,16.412004,2.752816,0.390781,2.305004,0.197816,0.035781,16.339438,7.742326,10.079235,2.538602
157,0.627000,0.097000,0.276000,98.712000,1.156000,2.000000,18.169000,3.655000,0.382000,20.539143,4.385108,0.503277,2.370143,0.730108,0.121277,13.044981,19.975595,31.748032,3.221528
158,0.627000,0.097000,0.276000,98.712000,1.156000,4.000000,23.209000,4.935000,0.361000,23.292585,5.514035,0.497736,0.083585,0.579035,0.136736,0.360142,11.733227,37.876969,0.799356
159,0.627000,0.097000,0.276000,98.712000,1.156000,6.000000,26.663000,5.717000,0.324000,25.797522,6.070668,0.443554,0.865478,0.353668,0.119554,3.245990,6.186255,36.899405,1.338701
160,0.627000,0.097000,0.276000,98.712000,1.156000,8.000000,29.343000,6.266000,0.290000,28.109051,6.550272,0.377163,1.233949,0.284272,0.087163,4.205259,4.536738,30.056256,1.605384
161,0.627000,0.097000,0.276000,98.712000,1.156000,12.000000,33.413000,7.009000,0.234000,32.732117,7.509479,0.244382,0.680883,0.500479,0.010382,2.037780,7.140520,4.436673,1.191744
162,0.627000,0.097000,0.276000,98.712000,1.156000,24.000000,40.923000,8.137000,0.140000,38.213154,8.174730,0.209719,2.709846,0.037730,0.069719,6.621817,0.463688,49.799596,2.817296
163,0.627000,0.097000,0.276000,98.712000,1.156000,48.000000,48.487000,9.038000,0.070000,43.672073,8.805574,0.157797,4.814927,0.232426,0.087797,9.930346,2.571648,125.423872,5.135149
164,0.627000,0.097000,0.276000,98.712000,1.156000,72.000000,52.570000,9.454000,0.043000,49.258148,9.389421,0.097275,3.311852,0.064579,0.054275,6.299889,0.683092,126.221442,3.430707
165,0.627000,0.097000,0.276000,98.712000,1.156000,96.000000,55.200000,9.703000,0.030000,53.648853,10.213529,0.053000,1.551147,0.510529,0.023000,2.810048,5.261554,76.668018,2.084676
166,0.639000,0.071000,0.290000,159.273000,0.636000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
167,0.639000,0.071000,0.290000,159.273000,0.636000,1.000000,24.546000,1.487000,0.587000,16.988649,0.000000,0.445972,7.557351,1.487000,0.141028,30.788522,100.000000,24.025234,9.185379
168,0.639000,0.071000,0.290000,159.273000,0.636000,2.000000,31.824000,2.205000,0.755000,30.049736,0.846880,0.789006,1.774264,1.358120,0.034006,5.575239,61.592754,4.504161,3.166391
169,0.639000,0.071000,0.290000,159.273000,0.636000,4.000000,40.358000,3.185000,0.912000,42.051147,2.619581,1.030048,1.693147,0.565419,0.118048,4.195321,17.752552,12.943822,2.376614
170,0.639000,0.071000,0.290000,159.273000,0.636000,6.000000,45.902000,3.889000,0.980000,46.670361,3.257360,0.947026,0.768361,0.631640,0.032974,1.673915,16.241714,3.364644,1.432974
171,0.639000,0.071000,0.290000,159.273000,0.636000,8.000000,50.057000,4.444000,1.009000,50.978020,3.798997,0.907026,0.921020,0.645003,0.101974,1.839942,14.514015,10.106401,1.667996
172,0.639000,0.071000,0.290000,159.273000,0.636000,12.000000,56.183000,5.295000,1.010000,58.155441,4.525829,0.880252,1.972441,0.769171,0.129748,3.510744,14.526368,12.846307,2.871360
173,0.639000,0.071000,0.290000,159.273000,0.636000,24.000000,67.159000,6.865000,0.881000,68.120949,7.033432,0.883658,0.961949,0.168432,0.002658,1.432345,2.453489,0.301702,1.133039
174,0.639000,0.071000,0.290000,159.273000,0.636000,48.000000,78.199000,8.432000,0.601000,79.313644,8.329614,0.426260,1.114644,0.102386,0.174740,1.425395,1.214259,29.074861,1.391771
175,0.639000,0.071000,0.290000,159.273000,0.636000,72.000000,84.325000,9.274000,0.415000,85.712753,9.530757,0.299394,1.387753,0.256757,0.115606,1.645720,2.768568,27.856922,1.760116
176,0.639000,0.071000,0.290000,159.273000,0.636000,96.000000,88.386000,9.818000,0.299000,89.384583,10.024462,0.223286,0.998583,0.206462,0.075714,1.129797,2.102890,25.322377,1.280758
177,0.630000,0.149000,0.221000,226.435000,0.604000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
178,0.630000,0.149000,0.221000,226.435000,0.604000,1.000000,9.271000,12.551000,1.104000,12.570640,11.058690,0.885202,3.299640,1.492310,0.218798,35.590978,11.889968,19.818628,5.010747
179,0.630000,0.149000,0.221000,226.435000,0.604000,2.000000,11.845000,17.415000,1.584000,16.057888,14.443483,1.333619,4.212888,2.971517,0.250381,35.566805,17.062972,15.806912,7.434786
180,0.630000,0.149000,0.221000,226.435000,0.604000,4.000000,15.552000,22.344000,2.247000,18.145641,18.956175,1.933133,2.593641,3.387825,0.313867,16.677220,15.162125,13.968274,6.295334
181,0.630000,0.149000,0.221000,226.435000,0.604000,6.000000,18.541000,24.982000,2.739000,20.925638,22.293356,2.451427,2.384638,2.688644,0.287573,12.861432,10.762325,10.499215,5.360856
182,0.630000,0.149000,0.221000,226.435000,0.604000,8.000000,21.173000,26.677000,3.135000,24.315107,24.339031,2.810344,3.142107,2.337969,0.324656,14.840161,8.763987,10.355846,5.804732
